video_id,videoViewCount,videoLikesCount,videoCommentsCount
XIWe4vCtHcY,2934,128,4
PqCp1f0RIaU,14877,765,22
0B-lz9VQkYs,1289,25,4
_YG8b1g-QJA,4528,144,5
UT_hTGge_wc,4394,199,14
A42T_b0gwF4,1942,56,3
8NfozskpBtY,11099,589,15
lpK71OwmG0s,4961,236,19
QC1Jased-PA,1778,59,6
O5nQKzBb0oc,2973,82,7
73S2SJSTgQU,4090,93,8
TsnGd6p9oTk,5494,164,12
DsI1vG-kXR8,21197,897,39
4lhPHhPkVLM,11631,339,29
dkU5n0G7FRQ,13503,640,15
kagUDLvrcZ8,20442,765,54
P5uJYPjUtlc,24843,900,36
dStNNjOKML4,4654,175,18
OQM9x6E3ojo,3255,101,12
z39SB95JbDo,3365,127,16
W5CQb7klLCs,3754,154,8
xb5-UX-jYw0,4250,218,15
V3ouFOBQP0k,4471,218,10
oi9W142ELN0,3169,239,79
5n52mlp9Ym0,8827,255,41
hgp91KvbJV4,5451,284,22
1ql4kNv0_qY,7949,415,24
r5512UY3MTc,10314,674,68
XuOcmjIbFGg,9284,422,31
Ka2mDrKEAhg,29414,1428,128
k8nBWL6K884,28962,1382,84
WpX2F2BS3Qc,25978,878,26
cd_jj0IRmaA,14689,553,14
OcG0B4ny1cE,10141,369,9
hXpt8zj_ajc,11013,435,19
ItZlTixh6Bs,19807,960,34
PEWMgtu-1e4,19877,861,34
hCmEfxy-BXg,8843,302,68
TtCBz1lutsY,15256,738,36
Ihmq-qeA5Pc,8623,381,125
wQQR60KtnFY,638036,25959,905
oHte3qFa-oY,24192,696,39
P7p2OZj9ewU,16339,399,24
I0vQ_VLZTWg,363115,6012,194
tnz72ywhCoo,6107,186,16
j8FSP8XuFyk,147765,2663,84
zXnQNytHCPM,76041,1880,78
osA1QpBcxRs,20482,1935,61
Mdq1WWSdUtw,76991,1864,54
CZt2BUpgjgw,14085,1099,42
t1fQBD4B7xk,49865,1349,47
OT1RErkfLNQ,794649,16842,648
rxyLC247h6E,23948,339,11
AycpRKyRagE,10052,163,12
K2GfrERtliU,15710,278,10
xmVyaT-RuVo,5993,198,8
amb9bciHGSI,23963,826,96
hgaVi4sOHkM,11531,211,13
YSjbGET6R1A,13415,301,14
vDVcXXfc9e8,29276,405,14
Vg6ys_JvXzg,5338,223,18
sge9qTf8GdY,37761,582,29
9ur0OpMADuM,43052,746,29
UTMuL_86gSQ,57654,1634,165
sEImMaovc1Q,14557,272,11
ZYps6TmBkWk,25055,514,31
zv1nfZTYpio,15462,383,23
rn0dSsYXhIE,6186,173,13
siHou7lObbo,14297,344,38
wJiJXD7MVoY,13768,811,133
BzwAZ1k3WEY,9139,381,9
5q2u8__sVhs,6526,239,17
UJbNEH0_nGY,7681,241,11
oz2K4HUNMW4,16479,455,28
Y-4ri9QjsTI,5899,93,10
F5v2dRYU5IA,112196,3485,85
